filename,exchange,ticker,instrument,resolution,start_date,end_date,n_rows,years
FOREXCOM_USDJPY_1H_20250604_20260325.csv,FOREXCOM,USDJPY,FOREXCOM_USDJPY,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_USDJPY_1W_20060101_20260322.csv,FOREXCOM,USDJPY,FOREXCOM_USDJPY,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_USDJPY_4H_20230104_20260325.csv,FOREXCOM,USDJPY,FOREXCOM_USDJPY,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_USOIL_1D_20181205_20260325.csv,FOREXCOM,USOIL,FOREXCOM_USOIL,1D,2018-12-05,2026-03-25,1855,7.3
FOREXCOM_USOIL_1H_20250522_20260325.csv,FOREXCOM,USOIL,FOREXCOM_USOIL,1H,2025-05-22,2026-03-25,5000,0.8
FOREXCOM_USOIL_1W_20181203_20260323.csv,FOREXCOM,USOIL,FOREXCOM_USOIL,1W,2018-12-03,2026-03-23,377,7.3
FOREXCOM_USOIL_4H_20230207_20260325.csv,FOREXCOM,USOIL,FOREXCOM_USOIL,4H,2023-02-07,2026-03-25,5000,3.1
FOREXCOM_XAGUSD_1D_20070401_20260324.csv,FOREXCOM,XAGUSD,FOREXCOM_XAGUSD,1D,2007-04-01,2026-03-24,4912,19.0
FOREXCOM_XAGUSD_1H_20250521_20260325.csv,FOREXCOM,XAGUSD,FOREXCOM_XAGUSD,1H,2025-05-21,2026-03-25,5000,0.8
FOREXCOM_XAGUSD_1W_20070401_20260322.csv,FOREXCOM,XAGUSD,FOREXCOM_XAGUSD,1W,2007-04-01,2026-03-22,988,19.0
FOREXCOM_XAGUSD_4H_20221228_20260325.csv,FOREXCOM,XAGUSD,FOREXCOM_XAGUSD,4H,2022-12-28,2026-03-25,5000,3.2
FOREXCOM_XAUUSD_1D_20061219_20260324.csv,FOREXCOM,XAUUSD,FOREXCOM_XAUUSD,1D,2006-12-19,2026-03-24,5000,19.3
FOREXCOM_XAUUSD_1H_20250521_20260325.csv,FOREXCOM,XAUUSD,FOREXCOM_XAUUSD,1H,2025-05-21,2026-03-25,5000,0.8
FOREXCOM_XAUUSD_1W_19970629_20260322.csv,FOREXCOM,XAUUSD,FOREXCOM_XAUUSD,1W,1997-06-29,2026-03-22,1500,28.7
FOREXCOM_XAUUSD_4H_20221228_20260325.csv,FOREXCOM,XAUUSD,FOREXCOM_XAUUSD,4H,2022-12-28,2026-03-25,5000,3.2
HSI_HSI_1D_20051208_20260325.csv,HSI,HSI,HSI_HSI,1D,2005-12-08,2026-03-25,5000,20.3
HSI_HSI_1H_20230421_20260325.csv,HSI,HSI,HSI_HSI,1H,2023-04-21,2026-03-25,5000,2.9
HSI_HSI_1W_19861229_20260323.csv,HSI,HSI,HSI_HSI,1W,1986-12-29,2026-03-23,2048,39.2
HSI_HSI_4H_20160107_20260325.csv,HSI,HSI,HSI_HSI,4H,2016-01-07,2026-03-25,5000,10.2
LSE_AZN_1D_20060613_20260325.csv,LSE,AZN,LSE_AZN,1D,2006-06-13,2026-03-25,5000,19.8
LSE_AZN_1H_20240116_20260325.csv,LSE,AZN,LSE_AZN,1H,2024-01-16,2026-03-25,5000,2.2
LSE_AZN_1W_19990405_20260323.csv,LSE,AZN,LSE_AZN,1W,1999-04-05,2026-03-23,1408,27.0
LSE_AZN_4H_20190812_20260325.csv,LSE,AZN,LSE_AZN,4H,2019-08-12,2026-03-25,5000,6.6
LSE_HSBA_1D_20060614_20260325.csv,LSE,HSBA,LSE_HSBA,1D,2006-06-14,2026-03-25,5000,19.8
LSE_HSBA_1H_20240118_20260325.csv,LSE,HSBA,LSE_HSBA,1H,2024-01-18,2026-03-25,5000,2.2
LSE_HSBA_1W_19950724_20260323.csv,LSE,HSBA,LSE_HSBA,1W,1995-07-24,2026-03-23,1601,30.7
LSE_HSBA_4H_20190813_20260325.csv,LSE,HSBA,LSE_HSBA,4H,2019-08-13,2026-03-25,5000,6.6
LSE_SHEL_1D_20060614_20260325.csv,LSE,SHEL,LSE_SHEL,1D,2006-06-14,2026-03-25,5000,19.8
LSE_SHEL_1H_20240119_20260325.csv,LSE,SHEL,LSE_SHEL,1H,2024-01-19,2026-03-25,5000,2.2
LSE_SHEL_1W_19841231_20260323.csv,LSE,SHEL,LSE_SHEL,1W,1984-12-31,2026-03-23,2152,41.2
LSE_SHEL_4H_20190813_20260325.csv,LSE,SHEL,LSE_SHEL,4H,2019-08-13,2026-03-25,5000,6.6
LSE_ULVR_1D_20060613_20260325.csv,LSE,ULVR,LSE_ULVR,1D,2006-06-13,2026-03-25,5000,19.8
LSE_ULVR_1H_20240116_20260325.csv,LSE,ULVR,LSE_ULVR,1H,2024-01-16,2026-03-25,5000,2.2
LSE_ULVR_1W_19950724_20260323.csv,LSE,ULVR,LSE_ULVR,1W,1995-07-24,2026-03-23,1601,30.7
LSE_ULVR_4H_20190813_20260325.csv,LSE,ULVR,LSE_ULVR,4H,2019-08-13,2026-03-25,5000,6.6
NASDAQ_AAPL_1D_20060509_20260324.csv,NASDAQ,AAPL,NASDAQ_AAPL,1D,2006-05-09,2026-03-24,5000,19.9
NASDAQ_AAPL_1H_20230512_20260324.csv,NASDAQ,AAPL,NASDAQ_AAPL,1H,2023-05-12,2026-03-24,5000,2.9
NASDAQ_AAPL_1W_19801208_20260323.csv,NASDAQ,AAPL,NASDAQ_AAPL,1W,1980-12-08,2026-03-23,2364,45.3
NASDAQ_AAPL_4H_20160405_20260324.csv,NASDAQ,AAPL,NASDAQ_AAPL,4H,2016-04-05,2026-03-24,5000,10.0
NASDAQ_AMZN_1D_20060509_20260324.csv,NASDAQ,AMZN,NASDAQ_AMZN,1D,2006-05-09,2026-03-24,5000,19.9
NASDAQ_AMZN_1H_20230512_20260324.csv,NASDAQ,AMZN,NASDAQ_AMZN,1H,2023-05-12,2026-03-24,5000,2.9
NASDAQ_AMZN_1W_19970512_20260323.csv,NASDAQ,AMZN,NASDAQ_AMZN,1W,1997-05-12,2026-03-23,1507,28.9
NASDAQ_AMZN_4H_20160401_20260324.csv,NASDAQ,AMZN,NASDAQ_AMZN,4H,2016-04-01,2026-03-24,5000,10.0
NASDAQ_GOOGL_1D_20060509_20260324.csv,NASDAQ,GOOGL,NASDAQ_GOOGL,1D,2006-05-09,2026-03-24,5000,19.9
NASDAQ_GOOGL_1H_20230512_20260324.csv,NASDAQ,GOOGL,NASDAQ_GOOGL,1H,2023-05-12,2026-03-24,5000,2.9
NASDAQ_GOOGL_1W_20040816_20260323.csv,NASDAQ,GOOGL,NASDAQ_GOOGL,1W,2004-08-16,2026-03-23,1128,21.6
NASDAQ_GOOGL_4H_20160331_20260324.csv,NASDAQ,GOOGL,NASDAQ_GOOGL,4H,2016-03-31,2026-03-24,5000,10.0
NASDAQ_META_1D_20120518_20260324.csv,NASDAQ,META,NASDAQ_META,1D,2012-05-18,2026-03-24,3481,13.8
NASDAQ_META_1H_20230512_20260324.csv,NASDAQ,META,NASDAQ_META,1H,2023-05-12,2026-03-24,5000,2.9
NASDAQ_META_1W_20120514_20260323.csv,NASDAQ,META,NASDAQ_META,1W,2012-05-14,2026-03-23,724,13.9
NASDAQ_META_4H_20160401_20260324.csv,NASDAQ,META,NASDAQ_META,4H,2016-04-01,2026-03-24,5000,10.0
NASDAQ_MSFT_1D_20060509_20260324.csv,NASDAQ,MSFT,NASDAQ_MSFT,1D,2006-05-09,2026-03-24,5000,19.9
NASDAQ_MSFT_1H_20230512_20260324.csv,NASDAQ,MSFT,NASDAQ_MSFT,1H,2023-05-12,2026-03-24,5000,2.9
